Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,267.480011,271.200012,266.429993,268.279999,259.264679,569200
2019-04-18,268.459991,269.000000,263.369995,266.010010,257.070953,488400
2019-04-22,262.899994,268.809998,262.010010,268.040009,259.032776,315300
2019-04-23,268.000000,274.549988,267.809998,274.140015,264.927795,650500
2019-04-24,271.640015,274.470001,267.390015,274.179993,264.966431,448500
2019-04-25,273.799988,278.940002,271.459991,277.970001,268.629089,691600
2019-04-26,277.049988,282.950012,275.209991,280.730011,271.296295,643100
2019-04-29,281.790009,284.920013,281.089996,283.649994,274.118195,371000
2019-04-30,283.649994,287.320007,281.399994,284.529999,274.968597,626500
2019-05-01,286.380005,288.500000,284.170013,285.369995,275.780396,502900
2019-05-02,281.829987,289.190002,278.380005,280.399994,270.977386,797000
2019-05-03,280.000000,289.690002,278.899994,285.440002,275.848022,787600
2019-05-06,272.119995,282.269989,271.299988,281.420013,271.963135,823900
2019-05-07,277.869995,278.670013,260.480011,264.170013,255.292831,1710600
2019-05-08,264.160004,265.519989,250.199997,264.410004,255.524750,1036200
2019-05-09,257.970001,262.700012,254.350006,261.670013,252.876816,820600
2019-05-10,262.100006,265.609985,258.220001,264.470001,255.582718,991100
2019-05-13,253.889999,257.029999,252.330002,254.570007,246.015411,1116800
2019-05-14,258.549988,264.049988,255.360001,262.369995,253.553284,928700
2019-05-15,261.489990,266.929993,259.019989,262.040009,253.234375,726900
2019-05-16,275.000000,282.000000,272.709991,279.109985,269.730743,1567300
2019-05-17,274.269989,274.500000,264.130005,266.529999,257.573486,1032800
2019-05-20,262.000000,262.000000,254.199997,257.619995,248.962891,965900
2019-05-21,260.440002,264.190002,258.390015,262.619995,253.794907,748800
2019-05-22,261.980011,262.649994,256.269989,260.779999,252.016724,848200
2019-05-23,256.459991,260.859985,253.009995,260.170013,251.427216,798800
2019-05-24,260.829987,262.000000,254.330002,255.979996,247.378006,885300
2019-05-28,256.350006,258.679993,250.639999,250.830002,242.401077,2369400
2019-05-29,248.250000,251.919998,246.160004,248.440002,240.091385,752100
2019-05-30,247.960007,252.649994,246.770004,249.250000,241.545029,673600
2019-05-31,246.500000,253.649994,246.000000,248.610001,240.924820,698800
2019-06-03,249.580002,250.919998,242.830002,244.660004,237.096924,840000
2019-06-04,247.899994,251.229996,243.559998,250.910004,243.153717,699000
2019-06-05,253.419998,254.440002,243.199997,245.570007,237.978790,676400
2019-06-06,246.270004,253.740005,244.220001,252.449997,244.646103,518200
2019-06-07,253.839996,260.440002,253.179993,258.260010,250.276489,573000
2019-06-10,260.649994,264.290009,257.489990,262.839996,254.714905,674200
2019-06-11,267.820007,270.380005,265.000000,269.799988,261.459747,751500
2019-06-12,266.859985,268.619995,265.529999,267.529999,259.259918,690100
2019-06-13,268.000000,269.839996,266.559998,267.380005,259.114563,548300
2019-06-14,265.179993,267.390015,264.250000,265.940002,257.719086,967000
2019-06-17,270.000000,270.000000,262.029999,263.750000,255.596771,517400
2019-06-18,266.200012,270.529999,265.209991,266.130005,257.903229,424100
2019-06-19,266.200012,267.420013,258.140015,259.959991,251.923920,739900
2019-06-20,265.059998,270.049988,263.500000,265.239990,257.040710,489000
2019-06-21,264.700012,266.829987,261.959991,262.429993,254.317566,602600
2019-06-24,264.179993,264.679993,261.149994,261.929993,253.833038,303600
2019-06-25,259.760010,260.000000,252.669998,254.600006,246.729645,457200
2019-06-26,254.910004,259.600006,254.619995,256.540009,248.609680,397200
2019-06-27,258.489990,261.940002,256.950012,261.350006,253.270996,337500
2019-06-28,262.640015,263.000000,254.500000,255.770004,247.863464,389900
2019-07-01,263.760010,265.279999,261.359985,262.709991,254.588959,504700
2019-07-02,263.390015,266.500000,260.510010,261.690002,253.600464,453400
2019-07-03,262.890015,265.739990,260.410004,265.570007,257.360535,372600
2019-07-05,263.019989,266.230011,258.619995,261.500000,253.416336,358500
2019-07-08,260.309998,260.890015,256.799988,257.790009,249.821045,380600
2019-07-09,254.490005,258.529999,254.080002,257.549988,249.588440,300000
2019-07-10,261.390015,264.600006,259.140015,262.619995,254.501724,377100
2019-07-11,263.899994,264.000000,260.010010,263.390015,255.247910,317100
2019-07-12,264.790009,267.100006,259.339996,259.869995,251.836700,361900
2019-07-15,261.170013,262.239990,256.079987,256.239990,248.318939,406300
2019-07-16,257.220001,260.739990,256.420013,259.380005,251.361877,307700
2019-07-17,257.070007,257.239990,250.539993,252.470001,244.665482,416900
2019-07-18,251.860001,251.910004,247.759995,247.990005,240.323975,657800
2019-07-19,250.789993,252.500000,243.429993,243.779999,236.244110,642400
2019-07-22,246.009995,246.179993,241.800003,242.960007,235.449478,407600
2019-07-23,243.100006,246.940002,243.100006,245.059998,237.484543,374900
2019-07-24,245.240005,247.570007,244.039993,245.160004,237.581467,343200
2019-07-25,245.479996,245.479996,235.309998,240.080002,232.658508,529000
2019-07-26,243.039993,243.250000,237.880005,238.960007,231.573120,503800
2019-07-29,238.360001,238.770004,230.360001,230.820007,223.684738,913200
2019-07-30,230.500000,236.380005,227.160004,232.779999,225.584152,584700
2019-07-31,232.639999,234.179993,226.059998,230.820007,223.684738,548600
2019-08-01,232.490005,235.960007,222.020004,224.940002,217.986511,703700
2019-08-02,221.729996,224.740005,215.309998,219.699997,212.908478,916500
2019-08-05,212.710007,215.220001,209.009995,211.880005,205.330231,1010100
2019-08-06,216.369995,217.610001,212.169998,212.669998,206.095810,919100
2019-08-07,211.000000,217.360001,209.470001,215.869995,209.196884,773600
2019-08-08,230.000000,244.970001,227.149994,238.020004,230.662170,2038600
2019-08-09,235.649994,246.110001,235.339996,242.899994,235.391312,1305300
2019-08-12,236.869995,238.990005,235.009995,235.139999,227.871201,777000
